2025-10-23,17:24:40,MONITOR,CPU Usage: 17.8%, RAM Usage: 73.1%
2025-10-23,17:24:46,MONITOR,CPU Usage: 5.0%, RAM Usage: 71.9%
2025-10-23,17:24:52,MONITOR,CPU Usage: 23.7%, RAM Usage: 72.3%
2025-10-23,17:24:58,MONITOR,CPU Usage: 13.3%, RAM Usage: 71.9%
2025-10-23,17:25:04,MONITOR,CPU Usage: 10.8%, RAM Usage: 72.5%
2025-10-23,17:25:10,MONITOR,CPU Usage: 6.5%, RAM Usage: 72.5%
2025-10-23,17:25:16,MONITOR,CPU Usage: 8.5%, RAM Usage: 71.7%
2025-10-23,17:25:23,MONITOR,CPU Usage: 25.5%, RAM Usage: 72.2%
2025-10-23,17:25:29,MONITOR,CPU Usage: 36.3%, RAM Usage: 71.9%
2025-10-23,17:25:35,MONITOR,CPU Usage: 6.0%, RAM Usage: 72.5%
2025-10-23,17:25:41,MONITOR,CPU Usage: 13.5%, RAM Usage: 72.0%
2025-10-23,17:25:47,MONITOR,CPU Usage: 4.3%, RAM Usage: 72.1%
2025-10-23,17:25:53,MONITOR,CPU Usage: 5.8%, RAM Usage: 71.4%
2025-10-23,17:25:59,MONITOR,CPU Usage: 5.5%, RAM Usage: 71.1%
2025-10-23,17:26:05,MONITOR,CPU Usage: 4.3%, RAM Usage: 71.7%
2025-10-23,17:26:11,MONITOR,CPU Usage: 5.0%, RAM Usage: 71.4%
2025-10-23,17:26:17,MONITOR,CPU Usage: 14.0%, RAM Usage: 71.8%
2025-10-23,17:26:23,MONITOR,CPU Usage: 7.5%, RAM Usage: 72.1%
2025-10-23,17:26:29,MONITOR,CPU Usage: 29.4%, RAM Usage: 71.6%
2025-10-23,17:26:35,MONITOR,CPU Usage: 24.2%, RAM Usage: 71.5%
2025-10-23,17:26:41,MONITOR,CPU Usage: 9.5%, RAM Usage: 71.7%
2025-10-23,17:26:47,MONITOR,CPU Usage: 47.7%, RAM Usage: 72.3%
2025-10-23,17:26:53,MONITOR,CPU Usage: 25.6%, RAM Usage: 72.4%
2025-10-23,17:26:59,MONITOR,CPU Usage: 42.8%, RAM Usage: 71.9%
2025-10-23,17:27:05,MONITOR,CPU Usage: 7.0%, RAM Usage: 72.1%
2025-10-23,17:27:11,MONITOR,CPU Usage: 11.1%, RAM Usage: 72.8%
2025-10-23,17:27:17,MONITOR,CPU Usage: 8.2%, RAM Usage: 71.8%
2025-10-23,17:27:23,MONITOR,CPU Usage: 6.8%, RAM Usage: 71.5%
2025-10-23,17:27:29,MONITOR,CPU Usage: 33.0%, RAM Usage: 72.6%
2025-10-23,17:27:35,MONITOR,CPU Usage: 31.2%, RAM Usage: 71.4%
2025-10-23,17:27:41,MONITOR,CPU Usage: 14.6%, RAM Usage: 71.5%
2025-10-23,17:27:47,MONITOR,CPU Usage: 9.1%, RAM Usage: 71.7%
2025-10-23,17:27:53,MONITOR,CPU Usage: 17.4%, RAM Usage: 71.8%
2025-10-23,17:27:59,MONITOR,CPU Usage: 16.6%, RAM Usage: 70.9%
2025-10-23,17:28:05,MONITOR,CPU Usage: 10.6%, RAM Usage: 73.4%
2025-10-23,17:28:11,MONITOR,CPU Usage: 14.8%, RAM Usage: 73.0%
2025-10-23,17:28:17,MONITOR,CPU Usage: 4.7%, RAM Usage: 73.0%
2025-10-23,17:28:23,MONITOR,CPU Usage: 5.0%, RAM Usage: 72.6%
2025-10-23,17:28:29,MONITOR,CPU Usage: 15.6%, RAM Usage: 71.7%
2025-10-23,17:28:35,MONITOR,CPU Usage: 24.2%, RAM Usage: 72.4%
2025-10-23,17:28:41,MONITOR,CPU Usage: 20.5%, RAM Usage: 73.7%
2025-10-23,17:28:47,MONITOR,CPU Usage: 15.0%, RAM Usage: 72.3%
2025-10-23,17:28:53,MONITOR,CPU Usage: 5.3%, RAM Usage: 72.3%
2025-10-23,17:28:59,MONITOR,CPU Usage: 7.8%, RAM Usage: 72.7%
2025-10-23,17:29:05,MONITOR,CPU Usage: 9.7%, RAM Usage: 72.8%
2025-10-23,17:29:11,MONITOR,CPU Usage: 5.5%, RAM Usage: 71.9%
2025-10-23,17:29:17,MONITOR,CPU Usage: 13.5%, RAM Usage: 72.2%
2025-10-23,17:29:23,MONITOR,CPU Usage: 13.5%, RAM Usage: 72.6%
2025-10-23,17:29:29,MONITOR,CPU Usage: 5.7%, RAM Usage: 72.5%
2025-10-23,17:29:35,MONITOR,CPU Usage: 14.5%, RAM Usage: 71.9%
2025-10-23,17:29:41,MONITOR,CPU Usage: 6.2%, RAM Usage: 72.3%
2025-10-23,17:29:47,MONITOR,CPU Usage: 6.2%, RAM Usage: 77.3%
2025-10-23,17:29:53,MONITOR,CPU Usage: 7.5%, RAM Usage: 77.3%
2025-10-23,17:29:59,MONITOR,CPU Usage: 12.0%, RAM Usage: 74.8%
2025-10-23,17:30:05,MONITOR,CPU Usage: 5.2%, RAM Usage: 74.7%
2025-10-23,17:30:11,MONITOR,CPU Usage: 5.3%, RAM Usage: 75.1%
2025-10-23,17:30:17,MONITOR,CPU Usage: 35.0%, RAM Usage: 75.6%
2025-10-23,17:30:23,MONITOR,CPU Usage: 9.2%, RAM Usage: 73.5%
2025-10-23,17:30:29,MONITOR,CPU Usage: 14.1%, RAM Usage: 73.4%
2025-10-23,17:30:35,MONITOR,CPU Usage: 8.0%, RAM Usage: 73.6%
2025-10-23,17:30:41,MONITOR,CPU Usage: 7.7%, RAM Usage: 73.6%
2025-10-23,17:30:47,MONITOR,CPU Usage: 8.7%, RAM Usage: 73.8%
2025-10-23,17:30:53,MONITOR,CPU Usage: 9.2%, RAM Usage: 74.6%
